"","ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","Income_fixed","Products","Amount"
"1",1826,1970,"Graduation","Divorced",84835,0,0,2014-06-16,0,1,4,4,6,1,"0","0","0","0","0","1","0","SP",84835,"Wines",189
"2",1826,1970,"Graduation","Divorced",84835,0,0,2014-06-16,0,1,4,4,6,1,"0","0","0","0","0","1","0","SP",84835,"Fruits",104
"3",1826,1970,"Graduation","Divorced",84835,0,0,2014-06-16,0,1,4,4,6,1,"0","0","0","0","0","1","0","SP",84835,"Meat",379
"4",1826,1970,"Graduation","Divorced",84835,0,0,2014-06-16,0,1,4,4,6,1,"0","0","0","0","0","1","0","SP",84835,"Fish",111
"5",1826,1970,"Graduation","Divorced",84835,0,0,2014-06-16,0,1,4,4,6,1,"0","0","0","0","0","1","0","SP",84835,"Sweet",189
"6",1826,1970,"Graduation","Divorced",84835,0,0,2014-06-16,0,1,4,4,6,1,"0","0","0","0","0","1","0","SP",84835,"Gold",218
"7",1,1961,"Graduation","Single",57091,0,0,2014-06-15,0,1,7,3,7,5,"0","0","0","0","1","1","0","CA",57091,"Wines",464
"8",1,1961,"Graduation","Single",57091,0,0,2014-06-15,0,1,7,3,7,5,"0","0","0","0","1","1","0","CA",57091,"Fruits",5
"9",1,1961,"Graduation","Single",57091,0,0,2014-06-15,0,1,7,3,7,5,"0","0","0","0","1","1","0","CA",57091,"Meat",64
"10",1,1961,"Graduation","Single",57091,0,0,2014-06-15,0,1,7,3,7,5,"0","0","0","0","1","1","0","CA",57091,"Fish",7
"11",1,1961,"Graduation","Single",57091,0,0,2014-06-15,0,1,7,3,7,5,"0","0","0","0","1","1","0","CA",57091,"Sweet",0
"12",1,1961,"Graduation","Single",57091,0,0,2014-06-15,0,1,7,3,7,5,"0","0","0","0","1","1","0","CA",57091,"Gold",37
"13",10476,1958,"Graduation","Married",67267,0,1,2014-05-13,0,1,3,2,5,2,"0","0","0","0","0","0","0","US",67267,"Wines",134
"14",10476,1958,"Graduation","Married",67267,0,1,2014-05-13,0,1,3,2,5,2,"0","0","0","0","0","0","0","US",67267,"Fruits",11
"15",10476,1958,"Graduation","Married",67267,0,1,2014-05-13,0,1,3,2,5,2,"0","0","0","0","0","0","0","US",67267,"Meat",59
