"Период","Итого и средние"
"2016-12-01","0"
"2016-12-02","0"
"2016-12-03","0"
"2016-12-04","0"
"2016-12-05","0"
"2016-12-06","0"
"2016-12-07","0"
"2016-12-08","0"
"2016-12-09","0"
"2016-12-10","0"
"2016-12-11","0"
"2016-12-12","0"
"2016-12-13","0"
"2016-12-14","0"
"2016-12-15","0"
"2016-12-16","0"
"2016-12-17","0"
"2016-12-18","0"
"2016-12-19","0"
"2016-12-20","0"
"2016-12-21","0"
"2016-12-22","0"
"2016-12-23","0"
"2016-12-24","0"
"2016-12-25","0"
"2016-12-26","0"
"2016-12-27","0"
"2016-12-28","0"
"2016-12-29","0"
"2016-12-30","0"
"2016-12-31","0"
"2017-01-01","0"
"2017-01-02","0"
"2017-01-03","0"
"2017-01-04","0"
"2017-01-05","0"
"2017-01-06","0"
"2017-01-07","0"
"2017-01-08","0"
"2017-01-09","0"
"2017-01-10","0"
"2017-01-11","5"
"2017-01-12","6"
"2017-01-13","9"
"2017-01-14","5"
"2017-01-15","1"
"2017-01-16","2"
"2017-01-17","4"
"2017-01-18","4"
"2017-01-19","4"
"2017-01-20","4"
"2017-01-21","2"
"2017-01-22","4"
"2017-01-23","3"
"2017-01-24","2"
"2017-01-25","5"
"2017-01-26","2"
"2017-01-27","2"
"2017-01-28","2"
"2017-01-29","2"
"2017-01-30","3"
"2017-01-31","4"
"2017-02-01","4"
"2017-02-02","4"
"2017-02-03","1"
"2017-02-04","3"
"2017-02-05","4"
"2017-02-06","5"
"2017-02-07","2"
"2017-02-08","1"
"2017-02-09","1"
"2017-02-10","0"
"2017-02-11","4"
"2017-02-12","1"
"2017-02-13","3"
"2017-02-14","1"
"2017-02-15","5"
"2017-02-16","6"
"2017-02-17","4"
"2017-02-18","0"
"2017-02-19","2"
"2017-02-20","4"
"2017-02-21","3"
"2017-02-22","1"
"2017-02-23","1"
"2017-02-24","4"
"2017-02-25","3"
"2017-02-26","2"
"2017-02-27","10"
"2017-02-28","3"
"2017-03-01","4"
"2017-03-02","2"
"2017-03-03","3"
"2017-03-04","3"
"2017-03-05","2"
"2017-03-06","2"
"2017-03-07","5"
"2017-03-08","2"
"2017-03-09","5"
"2017-03-10","1"
"2017-03-11","4"
"2017-03-12","3"
"2017-03-13","2"
"2017-03-14","3"
"2017-03-15","5"
"2017-03-16","2"
"2017-03-17","7"
"2017-03-18","10"
"2017-03-19","4"
"2017-03-20","2"
"2017-03-21","9"
"2017-03-22","9"
"2017-03-23","13"
"2017-03-24","13"
"2017-03-25","2"
"2017-03-26","6"
"2017-03-27","6"
"2017-03-28","7"
"2017-03-29","13"
"2017-03-30","12"
"2017-03-31","7"
"2017-04-01","5"
"2017-04-02","15"
"2017-04-03","14"
"2017-04-04","25"
"2017-04-05","17"
"2017-04-06","17"
"2017-04-07","17"
"2017-04-08","9"
"2017-04-09","11"
"2017-04-10","25"
"2017-04-11","12"
"2017-04-12","19"
"2017-04-13","17"
"2017-04-14","23"
"2017-04-15","11"
"2017-04-16","22"
"2017-04-17","18"
"2017-04-18","30"
"2017-04-19","27"
"2017-04-20","26"
"2017-04-21","22"
"2017-04-22","33"
"2017-04-23","23"
"2017-04-24","28"
"2017-04-25","35"
"2017-04-26","32"
"2017-04-27","39"
"2017-04-28","26"
"2017-04-29","24"
"2017-04-30","31"
"2017-05-01","26"
"2017-05-02","44"
"2017-05-03","38"
"2017-05-04","43"
"2017-05-05","16"
"2017-05-06","32"
"2017-05-07","35"
"2017-05-08","38"
"2017-05-09","37"
"2017-05-10","32"
"2017-05-11","51"
"2017-05-12","50"
"2017-05-13","35"
"2017-05-14","54"
"2017-05-15","38"
