cansim_table_number|title|subject|keywords|notes|date_published|time_period_coverage_start|time_period_coverage_end|url_en
13-10-0099|Health indicator profile, by Aboriginal identity and sex, age-standardized rate, four year estimates|health_and_safety, persons|health, health and well-being, indigenous peoples, other content related to health, table|<p>Health indicator profile, by Aboriginal identity and sex, age-standardized rate, four year estimates, Canada, provinces and territories.<br></p>|2016-12-09 08:30:00|2007-01-01 00:00:00|2011-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/13100099-eng.zip
13-10-0457|Health indicators, by Aboriginal identity, four-year period estimates|health_and_safety, persons|health, health and well-being, indigenous peoples, other content related to health, table|Percentage of persons for selected health indicators, by Aboriginal identity and sex,  based on four-year period estimates.|2016-12-09 08:30:00|2007-01-01 00:00:00|2011-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/13100457-eng.zip
13-10-0458|Health indicators, by Aboriginal identity, age-standardized rates, four-year period estimates|health_and_safety, persons|health, health and well-being, indigenous peoples, other content related to health, table|Age-standardized rate of persons for selected health indicators, by Aboriginal identity and sex,  based on four-year period estimates.|2017-03-06 08:30:00|2007-01-01 00:00:00|2007-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/13100458-eng.zip
13-10-0599|Canadian Community Health Survey (CCHS 1.1 and 2.1) off-reserve Aboriginal profile, by sex, Canada, provinces and territories|health_and_safety, persons|health, health and well-being, indigenous peoples, other content related to health, table|<p>This table contains 232512 series, with data for years 2000 - 2003 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia ...) Aboriginal status (4 items: Total off-reserve population; Aboriginal status; Non-Aboriginal; Aboriginal status; not stated ...) Sex (3 items: Both sexes; Males; Females ...) Health profile (181 items: Total population for the variable self-rated health; Very good self-rated health; Very good or excellent self-rated health; Excellent self-rated health ...) Characteristics (8 items: Number of persons; Coefficient of variation for number of persons; Low 95% confidence interval;  number of persons; High 95% confidence interval; number of persons ...).</p>|2017-03-06 08:30:00|2000-01-01 00:00:00|2003-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/13100599-eng.zip
13-10-0668|Canadian Community Health Survey (CCHS 3.1) off-reserve Aboriginal profile, by sex, Canada, provinces and territories|health_and_safety, persons|health, health and well-being, indigenous peoples, other content related to health, table|<p>This table contains 41216 series, with data for years 2005 - 2005 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia ...) Off-reserve Aboriginal profile (4 items: Total off-reserve population; Non-Aboriginal; Aboriginal; not stated; Aboriginal ...) Sex (3 items: Both sexes; Males; Females ...) Health profile (32 items: Very good or excellent self-rated health; Very good or excellent self-rated mental health; Overweight; self-reported adult body mass index 25.00 to 29.99 (18 years and over); Obese; self-reported adult body mass index 30.00 or higher (18 years and over) ...) Characteristics (8 items: Number of persons; Low 95% confidence interval; number of persons; Coefficient of variation for number of persons; High 95% confidence interval; number of persons ...).</p>|2010-05-10 08:30:00|2005-01-01 00:00:00|2005-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/13100668-eng.zip
14-10-0104|Employment by Aboriginal group and occupation|labour, persons|employment and unemployment, employment by occupation industry or sector, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|<p>Employment by Aboriginal and Non-Aboriginal population, National Occupational Classification (NOC), sex, and age group, last 5 years.<br><br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100104-eng.zip
14-10-0359|Labour force characteristics by Aboriginal group and educational attainment|education_and_training, labour, persons|education and labour market outcomes, education and the labour market, education learning and skills, education training and learning, employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|<p>Number of persons in the labour force (employment and unemployment) and not in the labour force, unemployment rate, participation rate and employment rate by Aboriginal and Non-Aboriginal population, educational attainment and age group, last 5 years.<br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100359-eng.zip
14-10-0361|Unemployment rates of population aged 15 and over, total and with Aboriginal identity, by educational attainment, Canada|labour|educational attainment, employment and unemployment, indigenous peoples, labour, table, unemployment|<p>Unemployment rates of population aged 15 and over, by educational attainment, Canada. This table is included in Section E: Transitions and outcomes: Labour market outcomes of the Pan Canadian Education Indicators Program (PCEIP). PCEIP draws from a wide variety of data sources to provide information on the school-age population, elementary, secondary and postsecondary education, transitions, and labour market outcomes. The program presents indicators for all of Canada, the provinces, the territories, as well as selected international comparisons and comparisons over time. PCEIP is an ongoing initiative of the Canadian Education Statistics Council, a partnership between Statistics Canada and the Council of Ministers of Education, Canada that provides a set of statistical measures on education systems in Canada.<br></p>|2019-03-25 08:30:00|1990-01-01 00:00:00|2018-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/14100361-eng.zip
14-10-0363|Employment by Aboriginal group and occupation, selected provinces and regions|labour, persons|employment and unemployment, employment by occupation industry or sector, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, regional labour markets, table|<p>Employment by Aboriginal and Non-Aboriginal population, National Occupational Classification (NOC), Eastern and central provinces and Western provinces (the Prairie region of Manitoba, Saskatchewan and Alberta, and British Columbia), and age group, last 5 years.<br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100363-eng.zip
14-10-0364|Labour force characteristics by province, region and Aboriginal group|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, labour force characteristics, table|<p>Number of persons in the labour force (employment and unemployment) and not in the labour force, unemployment rate, participation rate and employment rate by province, Atlantic region, Aboriginal and Non-Aboriginal population, sex, and age group, last 5 years.<br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100364-eng.zip
