country,lat,long,date,cases,type
Afghanistan,33.93911,67.709953,2020-01-22,0,deaths
Albania,41.1533,20.1683,2020-01-22,0,deaths
Algeria,28.0339,1.6596,2020-01-22,0,deaths
Andorra,42.5063,1.5218,2020-01-22,0,deaths
Angola,-11.2027,17.8739,2020-01-22,0,deaths
Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,deaths
Argentina,-38.4161,-63.6167,2020-01-22,0,deaths
Armenia,40.0691,45.0382,2020-01-22,0,deaths
Australia,-35.4735,149.0124,2020-01-22,0,deaths
Australia,-33.8688,151.2093,2020-01-22,0,deaths
Australia,-12.4634,130.8456,2020-01-22,0,deaths
Australia,-27.4698,153.0251,2020-01-22,0,deaths
Australia,-34.9285,138.6007,2020-01-22,0,deaths
Australia,-42.8821,147.3272,2020-01-22,0,deaths
Australia,-37.8136,144.9631,2020-01-22,0,deaths
Australia,-31.9505,115.8605,2020-01-22,0,deaths
Austria,47.5162,14.5501,2020-01-22,0,deaths
Azerbaijan,40.1431,47.5769,2020-01-22,0,deaths
Bahamas,25.025885,-78.035889,2020-01-22,0,deaths
Bahrain,26.0275,50.55,2020-01-22,0,deaths
Bangladesh,23.685,90.3563,2020-01-22,0,deaths
Barbados,13.1939,-59.5432,2020-01-22,0,deaths
Belarus,53.7098,27.9534,2020-01-22,0,deaths
Belgium,50.8333,4.469936,2020-01-22,0,deaths
Belize,17.1899,-88.4976,2020-01-22,0,deaths
Benin,9.3077,2.3158,2020-01-22,0,deaths
Bhutan,27.5142,90.4336,2020-01-22,0,deaths
Bolivia,-16.2902,-63.5887,2020-01-22,0,deaths
Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,deaths
Botswana,-22.3285,24.6849,2020-01-22,0,deaths
Brazil,-14.235,-51.9253,2020-01-22,0,deaths
Brunei,4.5353,114.7277,2020-01-22,0,deaths
Bulgaria,42.7339,25.4858,2020-01-22,0,deaths
Burkina Faso,12.2383,-1.5616,2020-01-22,0,deaths
Burma,21.9162,95.956,2020-01-22,0,deaths
Burundi,-3.3731,29.9189,2020-01-22,0,deaths
Cabo Verde,16.5388,-23.0418,2020-01-22,0,deaths
Cambodia,11.55,104.9167,2020-01-22,0,deaths
Cameroon,3.848,11.5021,2020-01-22,0,deaths
Canada,53.9333,-116.5765,2020-01-22,0,deaths
Canada,53.7267,-127.6476,2020-01-22,0,deaths
Canada,0,0,2020-01-22,0,deaths
Canada,0,0,2020-01-22,0,deaths
Canada,53.7609,-98.8139,2020-01-22,0,deaths
Canada,46.5653,-66.4619,2020-01-22,0,deaths
Canada,53.1355,-57.6604,2020-01-22,0,deaths
Canada,64.8255,-124.8457,2020-01-22,0,deaths
Canada,44.682,-63.7443,2020-01-22,0,deaths
Canada,51.2538,-85.3232,2020-01-22,0,deaths
Canada,46.5107,-63.4168,2020-01-22,0,deaths
Canada,52.9399,-73.5491,2020-01-22,0,deaths
Canada,52.9399,-106.4509,2020-01-22,0,deaths
Canada,64.2823,-135,2020-01-22,0,deaths
Central African Republic,6.6111,20.9394,2020-01-22,0,deaths
Chad,15.4542,18.7322,2020-01-22,0,deaths
Chile,-35.6751,-71.543,2020-01-22,0,deaths
China,31.8257,117.2264,2020-01-22,0,deaths
China,40.1824,116.4142,2020-01-22,0,deaths
China,30.0572,107.874,2020-01-22,0,deaths
China,26.0789,117.9874,2020-01-22,0,deaths
China,35.7518,104.2861,2020-01-22,0,deaths
China,23.3417,113.4244,2020-01-22,0,deaths
China,23.8298,108.7881,2020-01-22,0,deaths
China,26.8154,106.8748,2020-01-22,0,deaths
China,19.1959,109.7453,2020-01-22,0,deaths
China,39.549,116.1306,2020-01-22,0,deaths
China,47.862,127.7615,2020-01-22,0,deaths
China,37.8957,114.9042,2020-01-22,0,deaths
China,22.3,114.2,2020-01-22,0,deaths
China,30.9756,112.2707,2020-01-22,17,deaths
China,27.6104,111.7088,2020-01-22,0,deaths
China,44.0935,113.9448,2020-01-22,0,deaths
China,32.9711,119.455,2020-01-22,0,deaths
China,27.614,115.7221,2020-01-22,0,deaths
China,43.6661,126.1923,2020-01-22,0,deaths
China,41.2956,122.6085,2020-01-22,0,deaths
China,22.1667,113.55,2020-01-22,0,deaths
China,37.2692,106.1655,2020-01-22,0,deaths
China,35.7452,95.9956,2020-01-22,0,deaths
China,35.1917,108.8701,2020-01-22,0,deaths
China,36.3427,118.1498,2020-01-22,0,deaths
China,31.202,121.4491,2020-01-22,0,deaths
China,37.5777,112.2922,2020-01-22,0,deaths
China,30.6171,102.7103,2020-01-22,0,deaths
China,39.3054,117.323,2020-01-22,0,deaths
China,31.6927,88.0924,2020-01-22,0,deaths
China,41.1129,85.2401,2020-01-22,0,deaths
China,24.974,101.487,2020-01-22,0,deaths
China,29.1832,120.0934,2020-01-22,0,deaths
Colombia,4.5709,-74.2973,2020-01-22,0,deaths
Comoros,-11.6455,43.3333,2020-01-22,0,deaths
Congo (Brazzaville),-0.228,15.8277,2020-01-22,0,deaths
Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0,deaths
Costa Rica,9.7489,-83.7534,2020-01-22,0,deaths
Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,deaths
Croatia,45.1,15.2,2020-01-22,0,deaths
Cuba,21.521757,-77.78116700000002,2020-01-22,0,deaths
Cyprus,35.1264,33.4299,2020-01-22,0,deaths
Czechia,49.8175,15.473,2020-01-22,0,deaths
