country,lat,long,date,cases,type
Afghanistan,33.93911,67.709953,2020-01-22,0,recovered
Albania,41.1533,20.1683,2020-01-22,0,recovered
Algeria,28.0339,1.6596,2020-01-22,0,recovered
Andorra,42.5063,1.5218,2020-01-22,0,recovered
Angola,-11.2027,17.8739,2020-01-22,0,recovered
Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,recovered
Argentina,-38.4161,-63.6167,2020-01-22,0,recovered
Armenia,40.0691,45.0382,2020-01-22,0,recovered
Australia,-35.4735,149.0124,2020-01-22,0,recovered
Australia,-33.8688,151.2093,2020-01-22,0,recovered
Australia,-12.4634,130.8456,2020-01-22,0,recovered
Australia,-27.4698,153.0251,2020-01-22,0,recovered
Australia,-34.9285,138.6007,2020-01-22,0,recovered
Australia,-42.8821,147.3272,2020-01-22,0,recovered
Australia,-37.8136,144.9631,2020-01-22,0,recovered
Australia,-31.9505,115.8605,2020-01-22,0,recovered
Austria,47.5162,14.5501,2020-01-22,0,recovered
Azerbaijan,40.1431,47.5769,2020-01-22,0,recovered
Bahamas,25.025885,-78.035889,2020-01-22,0,recovered
Bahrain,26.0275,50.55,2020-01-22,0,recovered
Bangladesh,23.685,90.3563,2020-01-22,0,recovered
Barbados,13.1939,-59.5432,2020-01-22,0,recovered
Belarus,53.7098,27.9534,2020-01-22,0,recovered
Belgium,50.8333,4.469936,2020-01-22,0,recovered
Belize,17.1899,-88.4976,2020-01-22,0,recovered
Benin,9.3077,2.3158,2020-01-22,0,recovered
Bhutan,27.5142,90.4336,2020-01-22,0,recovered
Bolivia,-16.2902,-63.5887,2020-01-22,0,recovered
Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,recovered
Botswana,-22.3285,24.6849,2020-01-22,0,recovered
Brazil,-14.235,-51.9253,2020-01-22,0,recovered
Brunei,4.5353,114.7277,2020-01-22,0,recovered
Bulgaria,42.7339,25.4858,2020-01-22,0,recovered
Burkina Faso,12.2383,-1.5616,2020-01-22,0,recovered
Burma,21.9162,95.956,2020-01-22,0,recovered
Burundi,-3.3731,29.9189,2020-01-22,0,recovered
Cabo Verde,16.5388,-23.0418,2020-01-22,0,recovered
Cambodia,11.55,104.9167,2020-01-22,0,recovered
Cameroon,3.8480000000000003,11.5021,2020-01-22,0,recovered
Canada,56.1304,-106.3468,2020-01-22,0,recovered
Central African Republic,6.6111,20.9394,2020-01-22,0,recovered
Chad,15.4542,18.7322,2020-01-22,0,recovered
Chile,-35.6751,-71.543,2020-01-22,0,recovered
China,31.8257,117.2264,2020-01-22,0,recovered
China,40.1824,116.4142,2020-01-22,0,recovered
China,30.0572,107.874,2020-01-22,0,recovered
China,26.0789,117.9874,2020-01-22,0,recovered
China,35.7518,104.2861,2020-01-22,0,recovered
China,23.3417,113.4244,2020-01-22,0,recovered
China,23.8298,108.7881,2020-01-22,0,recovered
China,26.8154,106.8748,2020-01-22,0,recovered
China,19.1959,109.7453,2020-01-22,0,recovered
China,37.8957,114.9042,2020-01-22,0,recovered
China,47.861999999999995,127.7615,2020-01-22,0,recovered
China,33.882,113.61399999999999,2020-01-22,0,recovered
China,22.3,114.2,2020-01-22,0,recovered
China,30.9756,112.2707,2020-01-22,28,recovered
China,27.6104,111.7088,2020-01-22,0,recovered
China,44.0935,113.9448,2020-01-22,0,recovered
China,32.9711,119.455,2020-01-22,0,recovered
China,27.614,115.7221,2020-01-22,0,recovered
China,43.6661,126.1923,2020-01-22,0,recovered
China,41.2956,122.6085,2020-01-22,0,recovered
China,22.1667,113.55,2020-01-22,0,recovered
China,37.2692,106.1655,2020-01-22,0,recovered
China,35.7452,95.9956,2020-01-22,0,recovered
China,35.1917,108.8701,2020-01-22,0,recovered
China,36.3427,118.1498,2020-01-22,0,recovered
China,31.201999999999998,121.4491,2020-01-22,0,recovered
China,37.5777,112.2922,2020-01-22,0,recovered
China,30.6171,102.7103,2020-01-22,0,recovered
China,39.3054,117.323,2020-01-22,0,recovered
China,31.6927,88.0924,2020-01-22,0,recovered
China,41.1129,85.2401,2020-01-22,0,recovered
China,24.974,101.48700000000001,2020-01-22,0,recovered
China,29.1832,120.0934,2020-01-22,0,recovered
Colombia,4.5709,-74.2973,2020-01-22,0,recovered
Comoros,-11.6455,43.3333,2020-01-22,0,recovered
Congo (Brazzaville),-0.228,15.8277,2020-01-22,0,recovered
Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0,recovered
Costa Rica,9.7489,-83.7534,2020-01-22,0,recovered
Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,recovered
Croatia,45.1,15.2,2020-01-22,0,recovered
Cuba,21.521757,-77.78116700000002,2020-01-22,0,recovered
Cyprus,35.1264,33.4299,2020-01-22,0,recovered
Czechia,49.8175,15.472999999999999,2020-01-22,0,recovered
Denmark,61.8926,-6.9118,2020-01-22,0,recovered
Denmark,71.7069,-42.6043,2020-01-22,0,recovered
Denmark,56.2639,9.5018,2020-01-22,0,recovered
Diamond Princess,0,0,2020-01-22,0,recovered
Djibouti,11.8251,42.5903,2020-01-22,0,recovered
Dominica,15.415,-61.371,2020-01-22,0,recovered
Dominican Republic,18.7357,-70.1627,2020-01-22,0,recovered
Ecuador,-1.8312,-78.1834,2020-01-22,0,recovered
Egypt,26.820553000000004,30.802497999999996,2020-01-22,0,recovered
El Salvador,13.7942,-88.8965,2020-01-22,0,recovered
Equatorial Guinea,1.6508,10.2679,2020-01-22,0,recovered
Eritrea,15.1794,39.7823,2020-01-22,0,recovered
Estonia,58.5953,25.0136,2020-01-22,0,recovered
Eswatini,-26.5225,31.4659,2020-01-22,0,recovered
Ethiopia,9.145,40.4897,2020-01-22,0,recovered
Fiji,-17.7134,178.065,2020-01-22,0,recovered
Finland,61.92411,25.748151,2020-01-22,0,recovered
France,3.9339,-53.1258,2020-01-22,0,recovered
France,-17.6797,149.4068,2020-01-22,0,recovered
France,16.265,-61.551,2020-01-22,0,recovered
France,14.6415,-61.0242,2020-01-22,0,recovered
France,-12.8275,45.166244,2020-01-22,0,recovered
France,-20.904304999999997,165.618042,2020-01-22,0,recovered
France,-21.1151,55.5364,2020-01-22,0,recovered
France,17.9,-62.8333,2020-01-22,0,recovered
France,46.8852,-56.3159,2020-01-22,0,recovered
France,18.0708,-63.0501,2020-01-22,0,recovered
France,46.2276,2.2137,2020-01-22,0,recovered
Gabon,-0.8037,11.6094,2020-01-22,0,recovered
Gambia,13.4432,-15.3101,2020-01-22,0,recovered
Georgia,42.3154,43.3569,2020-01-22,0,recovered
Germany,51.165690999999995,10.451526,2020-01-22,0,recovered
Ghana,7.9465,-1.0232,2020-01-22,0,recovered
Greece,39.0742,21.8243,2020-01-22,0,recovered
Grenada,12.1165,-61.678999999999995,2020-01-22,0,recovered
Guatemala,15.7835,-90.2308,2020-01-22,0,recovered
Guinea,9.9456,-9.6966,2020-01-22,0,recovered
Guinea-Bissau,11.8037,-15.1804,2020-01-22,0,recovered
Guyana,4.860416000000002,-58.93018000000001,2020-01-22,0,recovered
Haiti,18.9712,-72.2852,2020-01-22,0,recovered
Holy See,41.9029,12.4534,2020-01-22,0,recovered
Honduras,15.2,-86.2419,2020-01-22,0,recovered
Hungary,47.1625,19.5033,2020-01-22,0,recovered
Iceland,64.9631,-19.0208,2020-01-22,0,recovered
India,20.593684,78.96288,2020-01-22,0,recovered
Indonesia,-0.7893,113.9213,2020-01-22,0,recovered
Iran,32.427908,53.68804599999999,2020-01-22,0,recovered
Iraq,33.223191,43.679291,2020-01-22,0,recovered
Ireland,53.1424,-7.6921,2020-01-22,0,recovered
Israel,31.046051000000002,34.851612,2020-01-22,0,recovered
Italy,41.87194,12.56738,2020-01-22,0,recovered
Jamaica,18.1096,-77.2975,2020-01-22,0,recovered
Japan,36.204824,138.252924,2020-01-22,0,recovered
Jordan,31.24,36.51,2020-01-22,0,recovered
Kazakhstan,48.0196,66.9237,2020-01-22,0,recovered
Kenya,-0.0236,37.9062,2020-01-22,0,recovered
"Korea, South",35.90775700000001,127.766922,2020-01-22,0,recovered
Kosovo,42.602636,20.902977,2020-01-22,0,recovered
Kuwait,29.311659999999996,47.481766,2020-01-22,0,recovered
Kyrgyzstan,41.20438,74.766098,2020-01-22,0,recovered
Laos,19.856270000000002,102.495496,2020-01-22,0,recovered
Latvia,56.8796,24.6032,2020-01-22,0,recovered
